#    L    TT             EE             TE             PP             TP          
   305    0.37344E+04    0.10049E+02    0.11800E+03    0.17185E+07    0.98145E+03
   306    0.37004E+04    0.10229E+02    0.11807E+03    0.17118E+07    0.97236E+03
   307    0.36665E+04    0.10410E+02    0.11808E+03    0.17052E+07    0.96333E+03
   308    0.36325E+04    0.10592E+02    0.11808E+03    0.16985E+07    0.95435E+03
   309    0.35987E+04    0.10774E+02    0.11802E+03    0.16920E+07    0.94543E+03
   310    0.35648E+04    0.10955E+02    0.11794E+03    0.16854E+07    0.93657E+03
   311    0.35310E+04    0.11139E+02    0.11780E+03    0.16789E+07    0.92776E+03
   312    0.34974E+04    0.11321E+02    0.11764E+03    0.16724E+07    0.91901E+03
   313    0.34637E+04    0.11504E+02    0.11743E+03    0.16660E+07    0.91032E+03
   314    0.34302E+04    0.11688E+02    0.11720E+03    0.16596E+07    0.90169E+03
   315    0.33967E+04    0.11871E+02    0.11691E+03    0.16532E+07    0.89312E+03
   316    0.33634E+04    0.12054E+02    0.11659E+03    0.16469E+07    0.88460E+03
   317    0.33301E+04    0.12237E+02    0.11624E+03    0.16406E+07    0.87615E+03
   318    0.32970E+04    0.12420E+02    0.11584E+03    0.16344E+07    0.86775E+03
   319    0.32640E+04    0.12603E+02    0.11541E+03    0.16281E+07    0.85941E+03
